NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Cloak of Tawm'r Isley,3,482.04,"Socketed Minion Gems are Supported by Level 16 Life Leech (), (150-200)% increased Energy Shield (), Minions cannot be Blinded (), Minions have 15% chance to Blind Enemies on hit (), Found Magic Items drop Identified ()"
Farrul's Fur,3,482.04,"(100-150)% increased Armour and Evasion (), +(80-100) to maximum Life (), Aspect of the Cat has no Reservation (), +2 seconds to Cat's Stealth Duration (), Gain up to your maximum number of Frenzy and Power Charges when you gain Cat's Stealth (), You have Phasing while you have Cat's Stealth ()"
Fenumus' Shroud,3,482.04,"+(32-40) to Intelligence (), (125-133)% increased Energy Shield (), Regenerate (90.6-99.4) Energy Shield per second (), Enemies affected by your Spider's Webs deal 10% reduced Damage (), Enemies affected by your Spider's Webs have -10% to All Resistances (), (53-70)% increased Aspect of the Spider Area of Effect ()"
The Apostate,3,482.04,"+(30-50) to Strength (), +(20-30)% to all Elemental Resistances (), Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items ()"
Mask of the Stitched Demon,2.7,433.84,"+(40-50) to Intelligence (), +(160-180) to maximum Energy Shield (), Strength provides no bonus to Maximum Life (), Intelligence provides no inherent bonus to Maximum Mana (), +1 to Maximum Life per 2 Intelligence (), Cannot gain Energy Shield (), Regenerate 1% of Life per second per 500 Maximum Energy Shield (), Your Energy Shield starts at zero ()"
The Covenant,2.5,401.7,"Socketed Gems are Supported by Level 29 Added Chaos Damage (), +(20-30) to Intelligence (), (210-250)% increased Energy Shield (), 10% increased maximum Life (), Skills gain a Base Life Cost equal to 100% of Base Mana Cost ()"
Dialla's Malefaction,2.5,401.7,"Gems can be Socketed in this Item ignoring Socket Colour (), Gems Socketed in Red Sockets have +2 to Level (), Gems Socketed in Green Sockets have +30% to Quality (), Gems Socketed in Blue Sockets gain 100% increased Experience (), Has no Attribute Requirements ()"
Sporeguard,2.5,401.7,"Trigger Level 10 Contaminate when you Kill an Enemy (), (200-249)% increased Armour and Energy Shield (), (7-10)% increased maximum Life (), +(17-23)% to Chaos Resistance (), Enemies on Fungal Ground you Kill Explode, dealing 5% of their Life as Chaos Damage (), You have Fungal Ground around you while stationary ()"
Doryani's Prototype,2.5,401.7,"(150-200)% increased Armour and Energy Shield (), +(60-90) to maximum Life (), Deal no Non-Lightning Damage (), Armour also applies to Lightning Damage taken from Hits (), Lightning Resistance does not affect Lightning Damage taken (), Nearby Enemies have Lightning Resistance equal to yours ()"
Doppelgänger Guise,2.44,392.06,"Grants Level 20 Unhinge Skill (), (40-60)% more Critical Strike Chance while Insane (), Enemies Killed by your Hits are destroyed while Insane (), (30-40)% less Physical and Chaos Damage Taken while Sane (), Regenerate 10% Life over one second when Hit while Sane ()"
The Squire,2.4,385.63,"Has 3 Sockets (), All Sockets are White (), +(5-8)% to Quality of Socketed Support Gems (), Socketed Support Gems can also Support Skills from your Main Hand (), (100-150)% increased Armour and Evasion (), +(3-5)% Chance to Block ()"
Utula's Hunger,2.4,385.63,"(60-100)% increased Armour (), Recover (1-3)% of Life on Kill (), (30-40)% increased Stun and Block Recovery (), +(703-1000) to maximum Life if there are no Life Modifiers on other Equipped Items ()"
Replica Restless Ward,2.34,376.79,"(220-250)% increased Evasion and Energy Shield (), +(60-80) to maximum Life (), 6% increased Movement Speed per Frenzy Charge (), -2 to Maximum Endurance Charges (), -2 to Maximum Frenzy Charges (), Regenerate (100-140) Life per second per Endurance Charge ()"
Cloak of Flame,2.2,353.5,"+(50-75)% to Fire Resistance (), (40-75)% increased Ignite Duration on Enemies (), Reflects 100 Fire Damage to Melee Attackers (), 40% of Physical Damage taken as Fire Damage ()"
The Brass Dome,2.2,353.5,"(350-400)% increased Armour (), +(1-5)% to all maximum Elemental Resistances (), Strength provides no bonus to Maximum Life (), Take no Extra Damage from Critical Strikes ()"
Cloak of Tawm'r Isley,2.08,334.21,"Socketed Minion Gems are Supported by Level 16 Life Leech (), (150-200)% increased Energy Shield (), Minions cannot be Blinded (), Minions have 15% chance to Blind Enemies on hit (), Found Magic Items drop Identified ()"
Daresso's Defiance,2,321.36,"(180-220)% increased Armour and Evasion (), +(60-90) to maximum Life (), 2% of Physical Attack Damage Leeched as Life (), You lose all Endurance Charges when Hit (), You gain an Endurance Charge on Kill (), You gain Onslaught for 5 seconds per Endurance Charge when Hit (), 100% increased Effect of Onslaught on you ()"
Hyrri's Ire,2,321.36,"+30% chance to Suppress Spell Damage (), +(40-50) to Dexterity (), (140-220)% increased Evasion Rating (), 25% increased Chill Duration on Enemies (), (105-145) to (160-200) Added Cold Damage with Bow Attacks ()"
Incandescent Heart,2,321.36,"(220-240)% increased Armour and Energy Shield (), +(80-90) to maximum Life (), (0.8-1)% of Attack Damage Leeched as Life (), Gain (10-20)% of Elemental Damage as Extra Chaos Damage (), 25% of Elemental Damage from Hits taken as Chaos Damage (), (20-30)% increased Light Radius (), Light Radius is based on Energy Shield instead of Life ()"
Kintsugi,2,321.36,"(120-160)% increased Evasion Rating (), +(30-50)% to Fire Resistance (), 35% less Damage taken if you have not been Hit Recently (), 100% increased Evasion Rating if you have been Hit Recently ()"
Shavronne's Wrappings,2,321.36,"(100-150)% increased Energy Shield (), 10% faster start of Energy Shield Recharge (), +(30-40)% to Lightning Resistance (), Reflects 1 to 250 Lightning Damage to Melee Attackers (), Chaos Damage taken does not bypass Energy Shield ()"
The Restless Ward,2,321.36,"(220-250)% increased Evasion and Energy Shield (), +(60-80) to maximum Life (), 4% increased Movement Speed per Frenzy Charge (), Regenerate 75 Life per second per Endurance Charge (), (100-200)% increased Endurance, Frenzy and Power Charge Duration ()"
Thousand Ribbons,2,321.36,"Socketed Gems are Supported by Level 5 Elemental Proliferation (), Adds (2-4) to (5-9) Fire Damage to Spells and Attacks (), Adds (2-4) to (5-9) Cold Damage to Spells and Attacks (), Adds 1 to (4-12) Lightning Damage to Spells and Attacks (), +(30-60) to Evasion Rating (), +(30-60) to maximum Energy Shield (), +(25-50) to maximum Life (), +(25-50) to maximum Mana (), +(15-30)% to Fire Resistance (), +(15-30)% to Cold Resistance (), +(15-30)% to Lightning Resistance ()"
Atziri's Splendour,2,321.36,"(202-217)% increased Armour and Energy Shield (), +(70-78) to maximum Energy Shield (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Atziri's Splendour,2,321.36,"+(73-80) to maximum Energy Shield (), (272-299)% increased Energy Shield (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Inpulsa's Broken Heart,2,321.36,"+(60-80) to maximum Life (), (20-50)% increased Damage if you have Shocked an Enemy Recently (), (15-25)% increased Effect of Shock (), Shocked Enemies you Kill Explode, dealing 5% of
their Life as Lightning Damage which cannot Shock (), Unaffected by Shock ()"
Craiceann's Carapace,2,321.36,"Grants Level 20 Aspect of the Crab Skill (), (202-250)% increased Armour (), +(100-120) to maximum Life (), +(25-30)% to Fire and Cold Resistances (), Bleeding cannot be inflicted on you (), +5 to Maximum number of Crab Barriers ()"
The Iron Fortress,2,321.36,"+1% Chance to Block Attack Damage per 50 Strength (), Chance to Block Spell Damage is Unlucky (), +(60-120) to Strength (), (80-100)% increased Armour (), 10% reduced Movement Speed (), Strength's Damage Bonus instead grants 3% increased Melee
Physical Damage per 10 Strength ()"
The Ivory Tower,2,321.36,"+(40-70) to Intelligence (), +30 to maximum Energy Shield per 100 Reserved Life (), +(80-100) to maximum Mana (), Regenerate 2% of Energy Shield per second (), Chaos Damage is taken from Mana before Life ()"
Fleshcrafter,2,321.36,"(100-150)% increased Energy Shield (), Minions Convert 2% of their Maximum Life to Maximum Energy
Shield per 1% Chaos Resistance they have (), Chaos Damage taken does not bypass Minions' Energy Shield (), Minions have (50-100)% faster start of Energy Shield Recharge (), While Minions have Energy Shield, their Hits Ignore Monster Elemental Resistances ()"
Replica Ambu's Charge,2,321.36,"215% increased Armour and Energy Shield (), +74 to maximum Life (), +15% to all Elemental Resistances (), Share Endurance Charges with nearby party members (), Gain an Endurance Charge when you are Hit (), Lose 2% of Life per second if you have been Hit Recently ()"
Replica Loreweave,2,321.36,"Has 6 Sockets (), +(8-24) to all Attributes (), Adds (4-10) to (14-36) Physical Damage to Attacks (), (120-160)% increased Global Critical Strike Chance (), +(150-200) to maximum Energy Shield (), +(120-160) to maximum Life (), +(120-160) to maximum Mana (), (6-30)% increased Rarity of Items found (), (15-50)% increased Elemental Damage (), Your Maximum Resistances are (70-72)% ()"
Expedition's End,2,321.36,"(100-150)% increased Evasion and Energy Shield (), (5-10)% increased maximum Life (), All Damage can Freeze (), Freeze Chilled Enemies as though dealing (52-100)% more Damage (), Nearby Enemies are Chilled ()"
The Admiral,2,321.36,"+(31-38) to Intelligence (), (111-139)% increased Evasion and Energy Shield (), +(11-20)% to all Elemental Resistances (), (5-10)% chance to Freeze, Shock and Ignite (), Elemental Damage you Deal with Hits is Resisted by lowest Elemental Resistance instead ()"
Briskwrap,2,321.36,"15% increased Dexterity (), +(120-180) to Evasion Rating (), +(30-40)% to Cold Resistance (), (60-100)% increased Mana Recovery from Flasks (), 1% increased Damage per 15 Dexterity ()"
Soul Ascension,2,321.36,"(120-148)% increased Evasion and Energy Shield (), +(17-28)% to Chaos Resistance (), Eat a Soul when you Hit a Rare or Unique Enemy, no more than once every 0.5 seconds (), +(-8-10) to maximum number of Eaten Souls ()"
The Fourth Vow,2,321.36,"(150-250)% increased Armour and Energy Shield (), +(17-29)% to Chaos Resistance (), Regenerate 3% of Life per second (), Armour also applies to Chaos Damage taken from Hits (), Physical Damage taken bypasses Energy Shield ()"
Replica Hyrri's Ire,2,321.36,"+30% chance to Suppress Spell Damage (), +(40-50) to Intelligence (), (140-219)% increased Evasion Rating (), 25% increased Shock Duration on Enemies (), (12-18) to (231-347) Added Lightning Damage with Wand Attacks ()"
Replica Covenant,2,321.36,"Socketed Gems are Supported by Level 29 Added Cold Damage (), +(20-30) to Intelligence (), (210-250)% increased Energy Shield (), 10% increased maximum Life (), Skills gain a Base Energy Shield Cost equal to 200% of Base Mana Cost ()"
The Apostate,2,321.36,"+(30-47) to Strength (), +(20-30)% to all Elemental Resistances (), Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items ()"
Bronn's Lithe,1.98,318.15,"+5 to Level of Socketed Movement Gems (), 10% increased Attack Speed (), (60-100)% increased Damage with Movement Skills (), (200-250)% increased Evasion Rating (), 10% increased Movement Speed ()"
Queen of the Forest,1.97,316.86,"(200-240)% increased Evasion Rating (), +(60-70) to maximum Life (), +(6-10)% to Fire Resistance (), +(26-40)% to Cold Resistance (), +(11-25)% to Lightning Resistance (), 25% reduced Movement Speed (), 1% increased Movement Speed per 600 Evasion Rating, up to 75% (), -(50-40) Physical Damage taken from Hits by Animals ()"
Cospri's Will,1.96,314.93,"(150-200)% increased Evasion Rating (), +(31-53)% to Chaos Resistance (), You can apply an additional Curse (), Your Hexes can affect Hexproof Enemies (), Always Poison on Hit against Cursed Enemies ()"
Carcass Jack,1.9,305.29,"(120-150)% increased Evasion and Energy Shield (), +(50-70) to maximum Life (), +(9-12)% to all Elemental Resistances (), (40-50)% increased Area of Effect (), (40-50)% increased Area Damage (), Extra gore ()"
Infernal Mantle,1.8,289.22,"+3 to Level of Socketed Fire Gems (), 100% increased Global Critical Strike Chance (), (121-160)% increased Energy Shield (), 15% of Fire Damage Converted to Chaos Damage (), 100% increased Spell Damage taken when on Low Mana ()"
Atziri's Splendour,1.7,273.16,"(206-217)% increased Armour and Energy Shield (), +(92-100) to maximum Life (), +(21-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Belly of the Beast,1.5,241.02,"(150-200)% increased Armour (), (30-40)% increased maximum Life (), +(10-15)% to all Elemental Resistances (), 50% increased Flask Life Recovery rate (), Extra gore ()"
Foxshade,1.5,241.02,"+(20-30) to Dexterity (), +1000 to Evasion Rating while on Full Life (), (50-70)% increased Evasion Rating (), 30% increased Movement Speed when on Full Life (), Damage of Enemies Hitting you is Unlucky while you are on Full Life ()"
Lightning Coil,1.5,241.02,"Adds 1 to (20-30) Lightning Damage to Attacks (), (90-120)% increased Armour and Evasion (), +(60-80) to maximum Life (), -60% to Lightning Resistance (), 50% of Physical Damage from Hits taken as Lightning Damage ()"
Soul Mantle,1.5,241.02,"Socketed Gems are Supported by Level 20 Spell Totem (), (20-25)% increased Spell Damage (), (100-120)% increased Energy Shield (), (20-30)% increased Totem Life (), Inflicts a random Hex on you when your Totems die ()"
Atziri's Splendour,1.5,241.02,"(386-415)% increased Armour (), +(91-99) to maximum Life (), +(21-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Atziri's Splendour,1.5,241.02,"(200-218)% increased Evasion and Energy Shield (), +(91-100) to maximum Life (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Dendrobate,1.5,241.02,"Socketed Gems are Supported by Level 10 Chance to Poison (), (130-150)% increased Evasion and Energy Shield (), +40 to maximum Energy Shield (), +(15-25)% to all Elemental Resistances (), (75-100)% increased Damage with Poison if you have at least 300 Dexterity (), (15-25)% increased Poison Duration if you have at least 150 Intelligence ()"
Saqawal's Nest,1.5,241.02,"+(25-75) to all Attributes (), +(30-40)% to Lightning Resistance (), (12-20)% increased Mana Reservation Efficiency of Skills (), 100% increased Aspect of the Avian Buff Effect (), Aspect of the Avian also grants Avian's Might and Avian's Flight to nearby Allies (), +(120-150) to Evasion Rating and Energy Shield ()"
Farrul's Fur,1.5,241.02,"(100-150)% increased Armour and Evasion (), +(80-100) to maximum Life (), Aspect of the Cat has no Reservation (), +2 seconds to Cat's Stealth Duration (), Gain up to your maximum number of Frenzy and Power Charges when you gain Cat's Stealth (), You have Phasing while you have Cat's Stealth ()"
Ghostwrithe,1.5,241.02,"+(100-200) to maximum Energy Shield (), +(50-100) to maximum Life (), +50% to Chaos Resistance (), 50% of Maximum Life Converted to Energy Shield ()"
Atziri's Splendour,1.38,221.95,"(204-217)% increased Armour and Evasion (), +(91-100) to maximum Life (), +(22-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Atziri's Splendour,1.32,212.31,"(276-339)% increased Armour, Evasion and Energy Shield (), +(21-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
The Eternity Shroud,1.3,208.88,"Trigger Level 20 Glimpse of Eternity when Hit (), (101-149)% increased Evasion and Energy Shield (), +(72-100) to maximum Life (), +(17-23)% to Chaos Resistance (), Gain (3-5)% of Elemental Damage as Extra Chaos Damage per Shaper Item Equipped (), Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Shaper Items ()"
The Queen's Hunger,1.25,200.85,"Trigger Level 20 Bone Offering, Flesh Offering or Spirit Offering every 5 seconds
Offering Skills Triggered this way also affect you (), +31 to Strength and Intelligence (), +(31-34) to Dexterity (), (9-10)% Chance to Block Spell Damage (), +(31-35) to Intelligence (), (8-9)% Chance to Block Attack Damage (), +34 to Strength (), +(32-35) to Strength and Dexterity (), (5-10)% increased Cast Speed (), +(23-26) to maximum Life (), (100-158)% increased Energy Shield (), 19% of Damage is taken from Mana before Life while Focused (), (31-35)% chance to Avoid Elemental Ailments (), +10 to maximum Fortification while Focused (), +(3940-3951) to Armour during Soul Gain Prevention (), (6-10)% increased maximum Life (), +(19-20)% to Fire and Chaos Resistances (), Recover (39-40)% of Mana and Energy Shield when you Focus (), Regenerate 200 Energy Shield per second while a Rare or Unique Enemy is Nearby (), (22-25)% chance to Avoid being Frozen (), (22-24)% chance to Avoid being Shocked (), +(17-20)% to Lightning and Chaos Resistances (), 21% chance to Avoid being Ignited (), +(16-20)% to Cold and Chaos Resistances (), (30-35)% chance to Avoid being Stunned ()"
The Apostate,1.21,194.42,"+(30-50) to Strength (), +(20-30)% to all Elemental Resistances (), Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items ()"
Farrul's Fur,1.2,192.82,"(100-150)% increased Armour and Evasion (), +(80-100) to maximum Life (), Aspect of the Cat has no Reservation (), +2 seconds to Cat's Stealth Duration (), Gain up to your maximum number of Frenzy and Power Charges when you gain Cat's Stealth (), You have Phasing while you have Cat's Stealth ()"
The Snowblind Grace,1.2,192.82,"(10-15)% increased Dexterity (), (80-100)% increased Evasion Rating (), +(40-60) to maximum Life (), 50% increased Arctic Armour Buff Effect (), Arctic Armour has no Reservation ()"
Tinkerskin,1.1,176.75,"(140-170)% increased Evasion and Energy Shield (), +(60-90) to maximum Life (), (10-15)% increased Cooldown Recovery Rate for throwing Traps (), 15% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy (), 30% chance to gain Phasing for 4 seconds when your Trap is triggered by an Enemy (), Recover 100 Life when your Trap is triggered by an Enemy (), Recover 50 Energy Shield when your Trap is triggered by an Enemy ()"
Ambu's Charge,1,160.68,"(180-220)% increased Armour and Energy Shield (), +(60-80) to maximum Life (), +15% to all Elemental Resistances (), Gain up to maximum Endurance Charges when you take a Critical Strike (), Your nearby party members maximum Endurance Charges is equal to yours ()"
Death's Door,1,160.68,"+(20-40) to Strength (), 200% increased Armour and Energy Shield (), +(10-15)% to all Elemental Resistances (), 25% increased Movement Speed (), +1 to Maximum Endurance Charges (), 50% increased Elemental Ailment Duration on you (), Bleeding cannot be inflicted on you ()"
Death's Oath,1,160.68,"Trigger Level 20 Death Aura when Equipped (), +(40-50) to all Attributes (), (10-15)% increased Attack Speed (), (180-220)% increased Armour (), +(60-70) to maximum Life (), 1% of Attack Damage Leeched as Life (), You take 450 Chaos Damage per second for 3 seconds on Kill (), Gore Footprints ()"
Greed's Embrace,1,160.68,"30% reduced Strength Requirement (), 100% increased Rarity of Items found (), -10% to Fire Resistance (), +(20-30)% to Cold Resistance (), -(20-10)% to Lightning Resistance (), 20% reduced Movement Speed ()"
Lioneye's Vision,1,160.68,"Socketed Gems are Supported by Level 15 Pierce (), +160 Dexterity Requirement (), (200-250)% increased Armour (), +(60-100) to maximum Life (), 0.4% of Physical Attack Damage Leeched as Mana (), Enemy Projectiles Pierce you ()"
Victario's Influence,1,160.68,"+1 to Level of Socketed Aura Gems (), Socketed Gems are Supported by Level 30 Generosity (), Socketed Gems have 45% increased Reservation Efficiency (), (120-150)% increased Evasion and Energy Shield (), (20-40)% increased Area of Effect of Aura Skills (), (10-15)% increased effect of Non-Curse Auras from your Skills ()"
Atziri's Splendour,1,160.68,"(205-219)% increased Evasion and Energy Shield (), +(70-80) to maximum Energy Shield (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
Atziri's Splendour,1,160.68,"(383-413)% increased Evasion Rating (), +(90-100) to maximum Life (), +(20-24)% to all Elemental Resistances (), Gain 100 Life per Enemy Killed (), Gain 100 Mana per Enemy Killed ()"
The Perfect Form,1,160.68,"+50% chance to Suppress Spell Damage (), (155-191)% increased Evasion Rating (), -30% to Cold Resistance (), Evasion Rating is increased by Overcapped Cold Resistance (), Acrobatics ()"
Gruthkul's Pelt,1,160.68,"100% increased Global Physical Damage (), (300-400)% increased Armour and Evasion (), +(240-300) to maximum Life (), Regenerate 10% of Life per second (), 15% increased Character Size (), Spell Skills deal no Damage (), Your Spells are disabled ()"
Dialla's Malefaction,1,160.68,"Gems can be Socketed in this Item ignoring Socket Colour (), Gems Socketed in Red Sockets have +2 to Level (), Gems Socketed in Green Sockets have +30% to Quality (), Gems Socketed in Blue Sockets gain 100% increased Experience (), Has no Attribute Requirements ()"
Doedre's Skin,1,160.68,"Socketed Gems are Supported by Level 20 Blasphemy (), Grants Level 20 Summon Doedre's Effigy Skill
Socketed Hex Curse Skills are Triggered by Doedre's Effigy when Summoned
Hexes from Socketed Skills can apply 5 additional Curses (), +(30-40) to Intelligence (), (130-150)% increased Energy Shield (), 20% less Effect of your Curses ()"
Yriel's Fostering,1,160.68,"Grants Level 20 Summon Bestial Rhoa Skill (), +(312-397) to Accuracy Rating (), (130-150)% increased Evasion Rating (), +(91-100) to maximum Life (), Projectile Attack Skills have (41-59)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to Maim on Hit while
you have a Bestial Minion (), (10-15)% increased Attack and Movement Speed while you have a Bestial Minion ()"
Loreweave,1,160.68,"Has 6 Sockets (), +(8-24) to all Attributes (), Adds (4-10) to (14-36) Physical Damage to Attacks (), (20-60)% increased Global Critical Strike Chance (), +(15-50) to maximum Energy Shield (), +(20-60) to maximum Life (), +(20-50) to maximum Mana (), (6-30)% increased Rarity of Items found (), (15-50)% increased Elemental Damage (), Your Maximum Resistances are (76-78)% ()"
Garb of the Ephemeral,1,160.68,"+600 Strength and Intelligence Requirement (), (180-230)% increased Energy Shield (), +10 to maximum Divine Charges (), Gain a Divine Charge on Hit (), You gain Divinity for 10 seconds on reaching maximum Divine Charges
Lose all Divine Charges when you gain Divinity (), Nearby Allies' Action Speed cannot be modified to below Base Value (), Nearby Enemies cannot deal Critical Strikes ()"
Perfidy,1,160.68,"Having a placed Banner does not prevent you gaining Valour (), (25-40)% increased Melee Damage (), +(60-90) to maximum Life (), (25-50)% increased Valour gained ()"
Replica Perfect Form,1,160.68,"20% Chance to Block Attack Damage (), (157-200)% increased Evasion Rating (), -30% to Cold Resistance (), Evasion Rating is increased by Overcapped Cold Resistance (), Versatile Combatant ()"
Blunderbore,1,160.68,"+(500-696) Strength Requirement (), (82-120)% increased Armour (), (50-75)% increased Effect of Shrine Buffs on you (), You have Lesser Brutal Shrine Buff (), You have Lesser Massive Shrine Buff ()"
Replica Eternity Shroud,1,160.68,"Trigger Level 20 Shade Form when Hit (), (101-148)% increased Evasion and Energy Shield (), +(74-99) to maximum Life (), +(17-23)% to Chaos Resistance (), Gain (3-5)% of Physical Damage as Extra Chaos Damage per Elder Item Equipped (), Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Elder Items ()"
Mask of the Spirit Drinker,1,160.68,"(140-220)% increased Armour and Energy Shield (), +(30-60) to maximum Energy Shield (), +(80-100) to maximum Life (), Cannot gain Energy Shield (), Regenerate (50-150) Life per second if you have at least (500-1500) Maximum Energy Shield (), Your Energy Shield starts at zero ()"
Annihilation's Approach,1,160.68,"Grants Level 20 Approaching Flames Skill (), (60-97)% increased Armour and Evasion (), 30% increased Movement Speed (), Cannot be Chilled (), Cannot be Frozen (), Take 6000 Fire Damage per Second while Flame-Touched (), Gain Adrenaline when you become Flame-Touched (), Lose Adrenaline when you cease to be Flame-Touched ()"
Entropic Devastation,1,160.68,"Grants Call of Steel (), (109-148)% increased Evasion and Energy Shield (), (30-49)% increased Effect of Impales inflicted with Spells (), Critical Strikes with Spells inflict Impale ()"
Replica Hyrri's Ire,1,160.68,"+30% chance to Suppress Spell Damage (), +(40-50) to Intelligence (), (140-220)% increased Evasion Rating (), 25% increased Shock Duration on Enemies (), (12-18) to (231-347) Added Lightning Damage with Wand Attacks ()"
The Celestial Brace,1,160.68,"(103-149)% increased Armour (), 1% increased Attack Speed per Fortification (), +(1-10) to maximum Fortification (), Melee Hits from Strike Skills Fortify ()"
Echoes of Creation,0.92,147.83,"Socketed Warcry Skills have +1 Cooldown Use (), (80-120)% increased Armour (), +(50-70) to maximum Life (), When you Attack, take (15-20)% of Life as Physical Damage for
each Warcry Exerting the Attack (), Skills deal (10-15)% more Damage for each Warcry Exerting them ()"
Chains of Command,0.91,145.87,"Trigger Level 20 Animate Guardian's Weapon when Animated Guardian Kills an Enemy (), 10% chance to Trigger Level 18 Animate Guardian's Weapon when Animated Weapon Kills an Enemy (), (150-190)% increased Armour and Energy Shield (), +(60-90) to maximum Life (), Animated Guardian deals 5% increased Damage per Animated Weapon (), Animated Minions' Melee Attacks deal Splash Damage to surrounding targets (), Animated Minions' Melee Attacks deal 50% less Splash Damage to surrounding targets (), You cannot have non-Animated Minions ()"
Voll's Protector,0.87,140.34,"(100-150)% increased Armour and Energy Shield (), 50% reduced maximum Mana (), Gain a Power Charge for each Enemy you hit with a Critical Strike (), Inner Conviction ()"
Yriel's Fostering,0.85,136.41,"Grants Level 20 Summon Bestial Ursa Skill (), +(312-395) to Accuracy Rating (), (130-150)% increased Evasion Rating (), +(90-99) to maximum Life (), Projectile Attack Skills have (40-60)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to inflict Bleeding on Hit while
you have a Bestial Minion (), Adds (11-16) to (21-25) Physical Damage to Attacks while you have a Bestial Minion ()"
The Immortal Will,0.85,136.14,"Grants Summon Greater Harbinger of Focus Skill (), +(60-79) to maximum Life (), +(10-15)% to all Elemental Resistances (), (31-50) Mana gained when you Block (), +5% Chance to Block (), Channelling Skills deal (50-70)% increased Damage ()"
The Surrender,0.83,133.5,"(165-205)% increased Armour (), +(65-80) to maximum Life (), Recover (250-500) Life when you Block (), +6% Chance to Block ()"
Yriel's Fostering,0.74,118.2,"Grants Level 20 Summon Bestial Snake Skill (), +(301-397) to Accuracy Rating (), (131-150)% increased Evasion Rating (), +(90-99) to maximum Life (), Projectile Attack Skills have (40-57)% increased Critical Strike Chance (), Projectiles from Attacks have 20% chance to Poison on Hit while
you have a Bestial Minion (), Adds (13-19) to (23-29) Chaos Damage to Attacks while you have a Bestial Minion ()"
The Eternity Shroud,0.74,118.2,"Trigger Level 20 Glimpse of Eternity when Hit (), (112-149)% increased Evasion and Energy Shield (), +(73-97) to maximum Life (), +(19-23)% to Chaos Resistance (), Gain (3-5)% of Elemental Damage as Extra Chaos Damage per Shaper Item Equipped (), Hits ignore Enemy Monster Chaos Resistance if all Equipped Items are Shaper Items ()"
Dialla's Malefaction,0.72,115,"Gems can be Socketed in this Item ignoring Socket Colour (), Gems Socketed in Red Sockets have +2 to Level (), Gems Socketed in Green Sockets have +30% to Quality (), Gems Socketed in Blue Sockets gain 100% increased Experience (), Has no Attribute Requirements ()"
Thousand Ribbons,0.62,100,"Socketed Gems are Supported by Level 5 Elemental Proliferation (), Adds (2-4) to (5-9) Fire Damage to Spells and Attacks (), Adds (2-4) to (5-9) Cold Damage to Spells and Attacks (), Adds 1 to (4-12) Lightning Damage to Spells and Attacks (), +(30-60) to Evasion Rating (), +(30-60) to maximum Energy Shield (), +(25-50) to maximum Life (), +(25-50) to maximum Mana (), +(15-30)% to Fire Resistance (), +(15-30)% to Cold Resistance (), +(15-30)% to Lightning Resistance ()"
The Perfect Form,0.62,100,"+50% chance to Suppress Spell Damage (), (150-170)% increased Evasion Rating (), -30% to Cold Resistance (), Evasion Rating is increased by Overcapped Cold Resistance (), Acrobatics ()"
Dawnbreaker,0.62,100,"(159-247)% increased Armour (), +(20-25)% Chance to Block (), -1% Chance to Block Attack Damage for every 200 Fire Damage taken from Hits Recently (), (10-20)% of Cold Damage taken as Fire Damage (), (10-20)% of Lightning Damage taken as Fire Damage (), (11-20)% of Physical Damage taken as Fire Damage (), Scorch Enemies in Close Range when you Block ()"
Replica Covenant,0.62,100,"Socketed Gems are Supported by Level 29 Added Cold Damage (), +(20-30) to Intelligence (), (210-250)% increased Energy Shield (), 10% increased maximum Life (), Skills gain a Base Energy Shield Cost equal to 200% of Base Mana Cost ()"
The Apostate,0.62,100,"+(30-50) to Strength (), +(20-30)% to all Elemental Resistances (), Gain Maximum Life instead of Maximum Energy Shield from Equipped Armour Items ()"
Ravenous Passion,0.62,100,"+(31-50) to Strength (), (80-119)% increased Armour and Energy Shield (), Gain (7-10) Rage after Spending a total of 200 Mana (), Rage grants Spell Damage instead of Attack Damage ()"
